name,page,wikidata_id,foundingYearOrg,address,city,province,is_member_of,academicStaffSize,numberOfStudents,latitude,longitude
Học viện Báo chí và Tuyên truyền,Học viện Báo chí và Tuyên truyền,Q10771877,1962,,Hà Nội,Hà Nội,,,,21.0378,105.788
Học viện Hải quân (Việt Nam),Học viện Hải quân (Việt Nam),Q7928533,2022,,Nha Trang,,,,,12.2151,109.207
Trường Đại học An Giang,"Trường Đại học An Giang, Đại học Quốc gia Thành phố Hồ Chí Minh",Q4750013,1976,phường Long Xuyên,18 Ung Văn Khiêm,An Giang,Đại học Quốc gia Thành phố Hồ Chí Minh,490,,10.3718,105.431
Trường Đại học Đà Lạt,Trường Đại học Đà Lạt,Q3177493,1975,Số 1,Đà Lạt,Lâm Đồng,,,,11.95563889,108.44285833
Trường Đại học Hải Phòng,Trường Đại học Hải Phòng,Q5638944,1959,,Hải Phòng,Hải Phòng,,749,,20.8398,106.688
Trường Đại học Hàng hải Việt Nam,Trường Đại học Hàng hải Việt Nam,Q7928523,1956,,Hải Phòng,Hải Phòng,,,,20.837335,106.695632
Trường Đại học Hùng Vương,Trường Đại học Hùng Vương,Q10829053,2003,Phường Nông Trang,Phú Thọ,Việt Trì,,,,,
Trường Đại học Khoa học Xã hội và Nhân văn,"Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Hà Nội",Q10829064,1945,,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,,13000,,
Trường Đại học Kinh tế,"Trường Đại học Kinh tế, Đại học Quốc gia Hà Nội",Q5146680,1995,,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,180,,,
Trường Đại học Lạc Hồng,Trường Đại học Lạc Hồng,Q10829092,1997,phường Trấn Biên,Số 10 Huỳnh Văn Nghệ,Đồng Nai,,,,10.9545,106.8023
